"","x"
"1",-3.37125314998465
"2",-2.16858131551264
"3",7.02619019719172
"4",-10.2241687318
"5",2.25255900158749
"6",4.9130121060392
"7",3.05975927345536
"8",0.725252394537206
"9",10.6514871976965
"10",-2.28391728385046
"11",1.67946269271006
"12",1.65978821642869
"13",-2.15159008665677
"14",-9.40411309887531
"15",5.14417379019855
"16",-5.57614632137522
"17",3.93772194659411
"18",-0.569845593375031
"19",5.255394560294
"20",1.92351853513133
"21",5.74451215329153
"22",-0.498118124156701
"23",5.543832290711
"24",6.40819150174706
"25",2.94895503744611
"26",-5.38487759866012
"27",4.07735474285247
"28",4.61764187497565
"29",6.79126727904849
"30",-0.879191837382757
"31",5.93216577370571
"32",0.294186253152272
"33",2.00277714193461
"34",3.25447867322098
"35",2.10505583373527
"36",-4.3471797334662
"37",-4.26078647569122
"38",-3.50426310558333
"39",2.85656613047482
"40",2.94515817801125
"41",0.96609003252866
"42",-7.01847442239966
"43",-8.43483020344244
"44",7.12794119824986
"45",4.43678595647183
"46",6.4313983402964
"47",-0.864155232041323
"48",1.68522248719536
"49",1.33221067875636
"50",-1.580336029847
"51",1.24775607068573
"52",7.50432780710368
"53",-1.83742428834983
"54",9.8608196455735
"55",4.24404706309237
"56",-1.41497710619134
"57",-5.69508789665054
"58",3.54677534238192
"59",7.55224728330732
"60",7.98478974915647
"61",-0.831739340731572
"62",10.341882892306
"63",-4.58227409304332
"64",-2.56595607757182
"65",-3.05098356994397
"66",-4.3498643261446
"67",-8.55295013224872
"68",1.75754081518772
"69",-0.148782503757374
"70",-3.5090118839479
"71",-3.93914897670869
"72",8.73853096874526
"73",-3.4845947402453
"74",5.95897014848256
"75",1.72119081708341
"76",-5.88913611404836
"77",0.935265036693694
"78",10.3015727818786
"79",4.53781622542641
"80",-0.889793053584876
"81",3.57010666614967
"82",-8.75385026578893
"83",-3.9222679658258
"84",-6.37162611676715
"85",-1.50994518487879
"86",0.909706277512481
"87",-1.24237091448575
"88",-0.954677744415304
"89",1.97418059150113
"90",4.15399239495673
"91",6.09089078375629
"92",8.1225534675125
"93",0.264036545865628
"94",0.455507724482445
"95",-4.96067601646741
"96",-3.56592810149417
"97",2.28820677148595
"98",1.83485719807382
"99",-1.46677445569303
"100",4.0037399670628
"101",3.19179546746268
"102",-9.5385137186965
"103",-4.99268309555216
"104",-5.67990676279968
"105",0.176786175170504
"106",7.71657751319079
"107",0.953259674550852
"108",-2.83227609913072
"109",2.74799486427822
"110",-0.793882366934236
"111",-4.32705673094442
"112",-4.25082212045811
"113",2.8046362644886
"114",0.531836003467663
"115",2.69295998851414
"116",-2.48061645452268
"117",4.70551141552137
"118",-0.614424166441931
"119",7.09331815774132
"120",-0.365881032633766
"121",6.97303832359614
"122",-3.68081710405833
"123",7.47697607476444
"124",0.0319040774421346
"125",2.75101523626392
"126",5.23448709842412
"127",-0.933276528488123
"128",4.96973246224219
"129",-9.66585859434289
"130",-5.22492701702048
"131",-0.930069503607828
"132",-0.456455865522796
"133",-1.27195396850122
"134",-0.339538064925268
"135",5.26202436676956
"136",2.05960363883624
"137",0.646386444783277
"138",2.58216715587011
"139",6.53997641296186
"140",-3.72113505496184
"141",-6.86480613372336
"142",-1.64587018070132
"143",-9.21703992360261
"144",1.58400913821118
"145",3.33303613809701
"146",-1.56960674923389
"147",0.929630416976741
"148",3.97067637796293
"149",-9.64446027410934
"150",-0.553815132176419
"151",0.445529140175178
"152",-1.59013415109063
"153",2.5940112490222
"154",-4.83480774349249
"155",9.23184823442599
"156",-4.72176680203798
"157",-0.875651549583291
"158",5.98900664056703
"159",4.5917306449944
"160",5.06528100345392
"161",1.04726317811262
"162",-2.23311865752931
"163",-2.88040955795736
"164",-2.48733621165769
"165",0.136321062125959
"166",0.610763331806862
"167",7.18408625647539
"168",-7.29675590150078
"169",0.798052851784136
"170",-1.97556105529473
"171",7.89185631500071
"172",7.70499592873864
"173",2.6198693224277
"174",-2.41745318575369
"175",0.0138747072013796
"176",-5.51537917128796
"177",-4.419368338613
"178",-5.02023677629291
"179",-4.36922632608402
"180",-5.56772999098409
"181",-4.8749189882611
"182",-4.61142460606338
"183",-4.27988321581889
"184",-3.59740025414752
"185",8.07623037006501
"186",0.0392176915521949
"187",-4.49891691041749
"188",1.88411583850439
"189",-6.33779259868577
"190",-1.10625851744835
"191",-0.827547530785412
"192",-1.1711794406764
"193",0.0491128755204864
"194",-2.27705754540341
"195",4.87222245244332
"196",1.44567895995728
"197",-6.16356968907334
"198",-7.20787687178287
"199",-2.86031493732226
"200",1.08950887680097
"201",-0.0406519245955987
"202",-3.02551120558307
"203",6.00890891854725
"204",-1.84098631336329
"205",-2.18145201253481
"206",7.14515156225781
"207",-2.60895847190577
"208",1.29773719100843
"209",-1.27282870628516
"210",5.68947788390754
"211",-2.77669099330864
"212",-1.17427981288843
"213",1.43620616065355
"214",2.47303485532233
"215",2.68103747795532
"216",3.06234173101691
"217",6.90125333602452
"218",-3.23332465817774
"219",-1.86947811622071
"220",9.05436753790982
"221",2.44303036814565
"222",4.69721211567388
"223",-3.61447230129838
"224",5.60895097683736
"225",1.89501544262323
"226",4.39595436908393
"227",2.51156858112681
"228",3.45150105348379
"229",3.89966818578948
"230",6.49731397846868
"231",-0.962115041994428
"232",-7.78932536198579
"233",2.60779111787604
"234",5.38989803046781
"235",-4.46616289876955
"236",-6.45418780344822
"237",1.78944471607851
"238",-0.0862453814167033
"239",4.16352117110304
"240",2.50977069518195
"241",1.6584183556688
"242",6.88431513202217
"243",-0.63228974655185
"244",7.58120131507187
"245",-0.403457242757538
"246",0.934534861802098
"247",0.0112036872067767
"248",-3.71897980391744
"249",-6.17225010336293
"250",6.37168110339434
"251",1.95728158118727
"252",-0.720340620753539
"253",3.58041724924706
"254",4.41622654710184
"255",2.33244374354521
"256",4.39840658377283
"257",-4.63796978481469
"258",3.40508672484269
"259",9.41031885040207
"260",2.28823896775998
"261",6.49919555433733
"262",-3.31070397970733
"263",2.37902883862582
"264",-11.8290655980609
"265",-4.58830471163465
"266",1.97059250929537
"267",13.8225517761307
"268",5.41831546530518
"269",5.75003641325837
"270",-1.78425248000846
"271",-5.42438121362945
"272",2.59745790124816
"273",-0.276274739531769
"274",-3.40293538635052
"275",6.57177711170426
"276",0.562416718985765
"277",0.857503785709041
"278",3.26757704742701
"279",1.99883810767286
"280",5.64703894361105
"281",6.46953135602226
"282",3.00273034937771
"283",0.32861978290589
"284",0.918173918086023
"285",5.63303138572343
"286",4.38572026743157
"287",1.58523578057781
"288",-0.992603132629012
"289",2.8242360221556
"290",4.54763360274643
"291",-5.50487588161211
"292",1.9966778745855
"293",-2.2579457738313
"294",0.904890245481928
"295",5.52653405992899
"296",-7.01055057155554
"297",3.01791559113159
"298",-8.87173742225378
"299",-8.80549297074458
"300",-2.54710239188195
